Date : 2024-07-07 19:22:21
Directory : /home/hhb/YOLO_ORB_SLAM3-master
Total : 7134 files,  2792091 codes, 419361 comments, 314467 blanks, all 3525919 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/BING/CmFile.hpp                                                                                        | C++              |         22 |         40 |          8 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/BING/CmShow.cpp                                                                                        | C++              |         54 |         43 |          9 |        106 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/BING/CmShow.hpp                                                                                        | C++              |         17 |         40 |          6 |         63 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/BING/CmTimer.hpp                                                                                       | C++              |         94 |         43 |         22 |        159 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/BING/FilterTIG.cpp                                                                                     | C++              |        107 |         42 |         10 |        159 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/BING/ValStructVec.cpp                                                                                  | C++              |          7 |         40 |          7 |         54 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/BING/kyheader.hpp                                                                                      | C++              |        185 |         43 |         31 |        259 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/BING/objectnessBING.cpp                                                                                | C++              |        433 |         66 |         81 |        580 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/motionSaliency.cpp                                                                                     | C++              |          7 |         43 |          5 |         55 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/motionSaliencyBinWangApr2014.cpp                                                                       | C++              |        457 |        101 |        103 |        661 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/objectness.cpp                                                                                         | C++              |          7 |         43 |          4 |         54 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/precomp.hpp                                                                                            | C++              |          6 |         40 |          4 |         50 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/saliency.cpp                                                                                           | C++              |         16 |         40 |          8 |         64 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/staticSaliency.cpp                                                                                     | C++              |         45 |         45 |         14 |        104 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/staticSaliencyFineGrained.cpp                                                                          | C++              |        205 |         49 |         57 |        311 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/src/staticSaliencySpectralResidual.cpp                                                                     | C++              |         72 |         49 |         25 |        146 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/test/test_main.cpp                                                                                         | C++              |          2 |         37 |          3 |         42 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/test/test_precomp.hpp                                                                                      | C++              |          8 |          3 |          4 |         15 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/saliency/test/test_static_saliency_spectral_residual.cpp                                                            | C++              |         11 |         37 |          6 |         54 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/README.md                                                                                                       | Markdown         |         82 |          0 |         37 |        119 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/cmake/FindGflags.cmake                                                                                          | CMake            |        558 |          0 |         49 |        607 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/cmake/FindGlog.cmake                                                                                            | CMake            |        193 |          0 |         18 |        211 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2/sfm.hpp                                                                                         | C++              |         13 |         86 |          6 |        105 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2/sfm/conditioning.hpp                                                                            | C++              |         33 |         77 |         13 |        123 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2/sfm/fundamental.hpp                                                                             | C++              |         76 |        129 |         21 |        226 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2/sfm/io.hpp                                                                                      | C++              |         22 |         56 |         11 |         89 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2/sfm/numeric.hpp                                                                                 | C++              |         18 |         63 |         12 |         93 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2/sfm/projection.hpp                                                                              | C++              |         25 |         68 |         14 |        107 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2/sfm/reconstruct.hpp                                                                             | C++              |         30 |         98 |         16 |        144 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2/sfm/robust.hpp                                                                                  | C++              |         28 |         66 |         12 |        106 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2/sfm/simple_pipeline.hpp                                                                         | C++              |        131 |        126 |         38 |        295 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/include/opencv2/sfm/triangulation.hpp                                                                           | C++              |         14 |         46 |         10 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/samples/import_reconstruction.cpp                                                                               | C++              |         48 |          7 |         25 |         80 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/samples/match_reconstruct.cpp                                                                                   | C++              |        145 |          8 |         12 |        165 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/samples/recon2v.cpp                                                                                             | C++              |         86 |         10 |         30 |        126 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/samples/scene_reconstruction.cpp                                                                                | C++              |        105 |         12 |         43 |        160 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/samples/trajectory_reconstruction.cpp                                                                           | C++              |        154 |         33 |         58 |        245 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/conditioning.cpp                                                                                            | C++              |        117 |         37 |         34 |        188 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/fundamental.cpp                                                                                             | C++              |        443 |         51 |        102 |        596 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/io.cpp                                                                                                      | C++              |         41 |         40 |         12 |         93 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/io/io_bundler.h                                                                                             | C++              |        104 |         61 |         25 |        190 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_capi.h                                                                                                | C++              |        257 |        104 |         83 |        444 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/CMake/Installation.cmake                                                                        | CMake            |          7 |          0 |          3 |         10 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/base/vector.h                                                                             | C++              |        119 |         35 |         23 |        177 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/base/vector_utils.h                                                                       | C++              |         10 |         20 |          5 |         35 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/correspondence/bipartite_graph.h                                                          | C++              |         97 |         23 |         20 |        140 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/correspondence/feature.h                                                                  | C++              |         43 |         19 |         11 |         73 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/correspondence/feature_matching.cc                                                        | C++              |         88 |         35 |         21 |        144 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/correspondence/feature_matching.h                                                         | C++              |         40 |         40 |         17 |         97 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/correspondence/matches.cc                                                                 | C++              |         63 |         26 |         11 |        100 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/correspondence/matches.h                                                                  | C++              |        228 |         54 |         38 |        320 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/correspondence/nRobustViewMatching.cc                                                     | C++              |        203 |         74 |         27 |        304 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/correspondence/nRobustViewMatching.h                                                      | C++              |         42 |         76 |         21 |        139 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/correspondence/nViewMatchingInterface.h                                                   | C++              |         16 |         43 |         12 |         71 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/logging/logging.h                                                                         | C++              |         11 |         19 |          7 |         37 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/conditioning.cc                                                                 | C++              |         58 |         26 |         16 |        100 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/conditioning.h                                                                  | C++              |         23 |         25 |         12 |         60 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/euclidean_resection.cc                                                          | C++              |        557 |        139 |         79 |        775 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/euclidean_resection.h                                                           | C++              |         36 |         98 |         15 |        149 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/fundamental.cc                                                                  | C++              |        398 |         71 |         83 |        552 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/fundamental.h                                                                   | C++              |         71 |         89 |         28 |        188 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/fundamental_kernel.cc                                                           | C++              |         64 |         30 |         17 |        111 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/fundamental_kernel.h                                                            | C++              |         76 |         55 |         18 |        149 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/homography.cc                                                                   | C++              |        321 |        101 |         56 |        478 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/homography.h                                                                    | C++              |         30 |        102 |         14 |        146 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/homography_error.h                                                              | C++              |         90 |        150 |          9 |        249 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/homography_parameterization.h                                                   | C++              |         40 |         40 |         12 |         92 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/nviewtriangulation.h                                                            | C++              |         40 |         31 |         10 |         81 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/panography.cc                                                                   | C++              |         60 |         48 |         18 |        126 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/panography.h                                                                    | C++              |         13 |         79 |          8 |        100 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/panography_kernel.cc                                                            | C++              |         23 |         21 |          8 |         52 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/panography_kernel.h                                                             | C++              |         27 |         19 |          9 |         55 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/projection.cc                                                                   | C++              |        165 |         33 |         27 |        225 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/projection.h                                                                    | C++              |        169 |         36 |         27 |        232 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/random_sample.h                                                                 | C++              |         25 |         32 |          7 |         64 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/resection.h                                                                     | C++              |         29 |         26 |          8 |         63 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/resection_kernel.h                                                              | C++              |         40 |         19 |          8 |         67 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/robust_estimation.cc                                                            | C++              |          8 |         19 |          5 |         32 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/robust_estimation.h                                                             | C++              |        104 |         32 |         19 |        155 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/robust_fundamental.cc                                                           | C++              |         40 |         24 |          6 |         70 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/robust_fundamental.h                                                            | C++              |         21 |         25 |          8 |         54 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/robust_resection.cc                                                             | C++              |         23 |         22 |          4 |         49 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/robust_resection.h                                                              | C++              |         13 |         22 |          7 |         42 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/triangulation.cc                                                                | C++              |         24 |         20 |          7 |         51 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/triangulation.h                                                                 | C++              |         12 |         19 |          8 |         39 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/two_view_kernel.h                                                               | C++              |         78 |         46 |         14 |        138 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/twoviewtriangulation.cc                                                         | C++              |         60 |         19 |         12 |         91 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/multiview/twoviewtriangulation.h                                                          | C++              |         16 |         59 |          8 |         83 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/numeric/function_derivative.h                                                             | C++              |         65 |         28 |         15 |        108 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/numeric/levenberg_marquardt.h                                                             | C++              |        128 |         36 |         20 |        184 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/numeric/numeric.cc                                                                        | C++              |         97 |         19 |         21 |        137 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/numeric/numeric.h                                                                         | C++              |        367 |         68 |         68 |        503 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/numeric/poly.cc                                                                           | C++              |          0 |         22 |          2 |         24 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/numeric/poly.h                                                                            | C++              |         71 |         40 |         13 |        124 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/bundle.cc                                                                 | C++              |        452 |        109 |        104 |        665 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/bundle.h                                                                  | C++              |         47 |         86 |         14 |        147 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/callbacks.h                                                               | C++              |         10 |         19 |          6 |         35 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/camera_intrinsics.cc                                                      | C++              |        230 |         26 |         38 |        294 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/camera_intrinsics.h                                                       | C++              |        178 |        159 |         70 |        407 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/camera_intrinsics_impl.h                                                  | C++              |        151 |         24 |         18 |        193 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/distortion_models.cc                                                      | C++              |        144 |         26 |         28 |        198 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/distortion_models.h                                                       | C++              |         77 |         40 |         15 |        132 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/initialize_reconstruction.cc                                              | C++              |        122 |         39 |         35 |        196 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/initialize_reconstruction.h                                               | C++              |         13 |         54 |          8 |         75 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/intersect.cc                                                              | C++              |        169 |         38 |         48 |        255 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/intersect.h                                                               | C++              |         12 |         58 |          8 |         78 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/keyframe_selection.cc                                                     | C++              |        251 |        109 |         91 |        451 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/keyframe_selection.h                                                      | C++              |         12 |         35 |          7 |         54 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/pipeline.cc                                                               | C++              |        299 |         26 |         40 |        365 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/pipeline.h                                                                | C++              |         25 |         60 |         14 |         99 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/reconstruction.cc                                                         | C++              |        151 |         19 |         22 |        192 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/reconstruction.h                                                          | C++              |         63 |        126 |         29 |        218 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/reconstruction_scale.cc                                                   | C++              |         35 |         23 |         11 |         69 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/reconstruction_scale.h                                                    | C++              |          7 |         23 |          7 |         37 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/resect.cc                                                                 | C++              |        167 |         56 |         48 |        271 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/resect.h                                                                  | C++              |         12 |         67 |          8 |         87 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/tracks.cc                                                                 | C++              |        140 |         23 |         25 |        188 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/libmv_light/libmv/simple_pipeline/tracks.h                                                                  | C++              |         36 |         79 |         24 |        139 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/numeric.cpp                                                                                                 | C++              |         86 |         64 |         24 |        174 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/precomp.hpp                                                                                                 | C++              |          4 |         40 |          4 |         48 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/projection.cpp                                                                                              | C++              |        147 |         42 |         35 |        224 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/reconstruct.cpp                                                                                             | C++              |        138 |         61 |         65 |        264 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/robust.cpp                                                                                                  | C++              |        121 |         42 |         32 |        195 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/simple_pipeline.cpp                                                                                         | C++              |        192 |         67 |         66 |        325 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/src/triangulation.cpp                                                                                           | C++              |        110 |         61 |         26 |        197 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/scene.cpp                                                                                                  | C++              |         60 |         47 |         15 |        122 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/scene.h                                                                                                    | C++              |          5 |         34 |          3 |         42 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/test_common.cpp                                                                                            | C++              |         81 |         15 |         29 |        125 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/test_conditioning.cpp                                                                                      | C++              |         21 |         35 |          9 |         65 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/test_fundamental.cpp                                                                                       | C++              |        104 |         34 |         38 |        176 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/test_main.cpp                                                                                              | C++              |          2 |          3 |          1 |          6 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/test_numeric.cpp                                                                                           | C++              |         40 |         36 |         16 |         92 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/test_precomp.hpp                                                                                           | C++              |         94 |         26 |         21 |        141 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/test_projection.cpp                                                                                        | C++              |         60 |         38 |         22 |        120 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/test_reconstruct.cpp                                                                                       | C++              |         46 |         37 |         14 |         97 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/test_robust.cpp                                                                                            | C++              |         88 |         44 |         27 |        159 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/test_simple_pipeline.cpp                                                                                   | C++              |         31 |         40 |         17 |         88 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/test/test_triangulation.cpp                                                                                     | C++              |         46 |         37 |         15 |         98 |
| /home/hhb/YOLO_ORB_SLAM3-master/Thirdparty/opencv_contrib-4.2.0/modules/sfm/tutorials/sfm_import_reconstruction/sfm_import_reconstruction.markdown                                          | Markdown         |         17 |          0 |         12 |         29 |
